"CubeId";"rendoblim"
"PublishingDate";"2025-09-01 14:29"

"Date";"D0";"Value"
"1988-01";"1J";"2.887"
"1988-01";"2J";"3.218"
"1988-01";"3J";"3.393"
"1988-01";"4J";"3.554"
"1988-01";"5J";"3.695"
"1988-01";"6J";"3.81"
"1988-01";"7J";"3.904"
"1988-01";"8J";"3.98"
"1988-01";"9J";"4.041"
"1988-01";"10J";"4.092"
"1988-01";"15J";"4.247"
"1988-01";"20J";"4.326"
"1988-01";"30J";
"1988-02";"1J";"2.638"
"1988-02";"2J";"2.99"
"1988-02";"3J";"3.271"
"1988-02";"4J";"3.498"
"1988-02";"5J";"3.672"
"1988-02";"6J";"3.804"
"1988-02";"7J";"3.905"
"1988-02";"8J";"3.984"
"1988-02";"9J";"4.047"
"1988-02";"10J";"4.098"
"1988-02";"15J";"4.254"
"1988-02";"20J";"4.332"
"1988-02";"30J";
"1988-03";"1J";"2.641"
"1988-03";"2J";"3.263"
"1988-03";"3J";"3.573"
"1988-03";"4J";"3.734"
"1988-03";"5J";"3.823"
"1988-03";"6J";"3.878"
"1988-03";"7J";"3.916"
"1988-03";"8J";"3.946"
"1988-03";"9J";"3.972"
"1988-03";"10J";"3.998"
"1988-03";"15J";"4.126"
"1988-03";"20J";"4.255"
"1988-03";"30J";
"1988-04";"1J";"2.8"
"1988-04";"2J";"3.25"
"1988-04";"3J";"3.467"
"1988-04";"4J";"3.594"
"1988-04";"5J";"3.684"
"1988-04";"6J";"3.757"
"1988-04";"7J";"3.819"
"1988-04";"8J";"3.874"
"1988-04";"9J";"3.923"
"1988-04";"10J";"3.965"
"1988-04";"15J";"4.115"
"1988-04";"20J";"4.2"
"1988-04";"30J";
"1988-05";"1J";"3.191"
"1988-05";"2J";"3.602"
"1988-05";"3J";"3.802"
"1988-05";"4J";"3.909"
"1988-05";"5J";"3.974"
"1988-05";"6J";"4.019"
"1988-05";"7J";"4.054"
"1988-05";"8J";"4.082"
"1988-05";"9J";"4.106"
"1988-05";"10J";"4.127"
"1988-05";"15J";"4.201"
"1988-05";"20J";"4.247"
"1988-05";"30J";
"1988-06";"1J";"3.642"
"1988-06";"2J";"3.707"
"1988-06";"3J";"3.764"
"1988-06";"4J";"3.83"
"1988-06";"5J";"3.897"
"1988-06";"6J";"3.96"
"1988-06";"7J";"4.017"
"1988-06";"8J";"4.069"
"1988-06";"9J";"4.115"
"1988-06";"10J";"4.155"
"1988-06";"15J";"4.298"
"1988-06";"20J";"4.38"
"1988-06";"30J";
"1988-07";"1J";"4.161"
"1988-07";"2J";"4.195"
"1988-07";"3J";"4.206"
"1988-07";"4J";"4.212"
"1988-07";"5J";"4.215"
"1988-07";"6J";"4.218"
"1988-07";"7J";"4.219"
"1988-07";"8J";"4.221"
"1988-07";"9J";"4.222"
"1988-07";"10J";"4.222"
"1988-07";"15J";"4.225"
"1988-07";"20J";"4.226"
"1988-07";"30J";
"1988-08";"1J";"4.044"
"1988-08";"2J";"3.959"
"1988-08";"3J";"3.943"
"1988-08";"4J";"3.981"
"1988-08";"5J";"4.037"
"1988-08";"6J";"4.096"
"1988-08";"7J";"4.153"
"1988-08";"8J";"4.204"
"1988-08";"9J";"4.251"
"1988-08";"10J";"4.292"
"1988-08";"15J";"4.432"
"1988-08";"20J";"4.498"
"1988-08";"30J";
"1988-09";"1J";"3.814"
"1988-09";"2J";"3.798"
"1988-09";"3J";"3.871"
"1988-09";"4J";"3.962"
"1988-09";"5J";"4.041"
"1988-09";"6J";"4.105"
"1988-09";"7J";"4.156"
"1988-09";"8J";"4.197"
"1988-09";"9J";"4.23"
"1988-09";"10J";"4.257"
"1988-09";"15J";"4.339"
"1988-09";"20J";"4.381"
"1988-09";"30J";
"1988-10";"1J";"4.108"
"1988-10";"2J";"4.157"
"1988-10";"3J";"4.089"
"1988-10";"4J";"4.025"
"1988-10";"5J";"3.986"
"1988-10";"6J";"3.967"
"1988-10";"7J";"3.965"
"1988-10";"8J";"3.974"
"1988-10";"9J";"3.991"
"1988-10";"10J";"4.014"
"1988-10";"15J";"4.186"
"1988-10";"20J";"4.406"
"1988-10";"30J";
"1988-11";"1J";"4.506"
"1988-11";"2J";"4.29"
"1988-11";"3J";"4.144"
"1988-11";"4J";"4.054"
"1988-11";"5J";"4.003"
"1988-11";"6J";"3.981"
"1988-11";"7J";"3.979"
"1988-11";"8J";"3.991"
"1988-11";"9J";"4.013"
"1988-11";"10J";"4.042"
"1988-11";"15J";"4.222"
"1988-11";"20J";"4.387"
"1988-11";"30J";
"1988-12";"1J";"4.691"
"1988-12";"2J";"4.425"
"1988-12";"3J";"4.24"
"1988-12";"4J";"4.131"
"1988-12";"5J";"4.074"
"1988-12";"6J";"4.05"
"1988-12";"7J";"4.048"
"1988-12";"8J";"4.06"
"1988-12";"9J";"4.081"
"1988-12";"10J";"4.107"
"1988-12";"15J";"4.254"
"1988-12";"20J";"4.374"
"1988-12";"30J";
"1989-01";"1J";"5.651"
"1989-01";"2J";"5.14"
"1989-01";"3J";"4.862"
"1989-01";"4J";"4.727"
"1989-01";"5J";"4.653"
"1989-01";"6J";"4.606"
"1989-01";"7J";"4.574"
"1989-01";"8J";"4.55"
"1989-01";"9J";"4.531"
"1989-01";"10J";"4.517"
"1989-01";"15J";"4.472"
"1989-01";"20J";"4.45"
"1989-01";"30J";
"1989-02";"1J";"6.079"
"1989-02";"2J";"5.522"
"1989-02";"3J";"5.202"
"1989-02";"4J";"5.03"
"1989-02";"5J";"4.926"
"1989-02";"6J";"4.857"
"1989-02";"7J";"4.808"
"1989-02";"8J";"4.771"
"1989-02";"9J";"4.742"
"1989-02";"10J";"4.719"
"1989-02";"15J";"4.65"
"1989-02";"20J";"4.615"
"1989-02";"30J";
"1989-03";"1J";"5.993"
"1989-03";"2J";"5.473"
"1989-03";"3J";"5.179"
"1989-03";"4J";"5.035"
"1989-03";"5J";"4.954"
"1989-03";"6J";"4.901"
"1989-03";"7J";"4.864"
"1989-03";"8J";"4.836"
"1989-03";"9J";"4.815"
"1989-03";"10J";"4.798"
"1989-03";"15J";"4.746"
"1989-03";"20J";"4.72"
"1989-03";"30J";
"1989-04";"1J";"6.443"
"1989-04";"2J";"5.845"
"1989-04";"3J";"5.439"
"1989-04";"4J";"5.231"
"1989-04";"5J";"5.132"
"1989-04";"6J";"5.086"
"1989-04";"7J";"5.066"
"1989-04";"8J";"5.058"
"1989-04";"9J";"5.055"
"1989-04";"10J";"5.054"
"1989-04";"15J";"5.058"
"1989-04";"20J";"5.061"
"1989-04";"30J";
"1989-05";"1J";"7.446"
"1989-05";"2J";"6.476"
"1989-05";"3J";"5.926"
"1989-05";"4J";"5.639"
"1989-05";"5J";"5.483"
"1989-05";"6J";"5.392"
"1989-05";"7J";"5.334"
"1989-05";"8J";"5.294"
"1989-05";"9J";"5.265"
"1989-05";"10J";"5.242"
"1989-05";"15J";"5.176"
"1989-05";"20J";"5.143"
"1989-05";"30J";
"1989-06";"1J";"6.922"
"1989-06";"2J";"6.019"
"1989-06";"3J";"5.455"
"1989-06";"4J";"5.178"
"1989-06";"5J";"5.066"
"1989-06";"6J";"5.035"
"1989-06";"7J";"5.041"
"1989-06";"8J";"5.06"
"1989-06";"9J";"5.083"
"1989-06";"10J";"5.105"
"1989-06";"15J";"5.186"
"1989-06";"20J";"5.229"
"1989-06";"30J";
"1989-07";"1J";"6.397"
"1989-07";"2J";"5.618"
"1989-07";"3J";"5.273"
"1989-07";"4J";"5.153"
"1989-07";"5J";"5.123"
"1989-07";"6J";"5.125"
"1989-07";"7J";"5.136"
"1989-07";"8J";"5.15"
"1989-07";"9J";"5.162"
"1989-07";"10J";"5.173"
"1989-07";"15J";"5.208"
"1989-07";"20J";"5.226"
"1989-07";"30J";
"1989-08";"1J";"7.07"
"1989-08";"2J";"6.145"
"1989-08";"3J";"5.567"
"1989-08";"4J";"5.297"
"1989-08";"5J";"5.19"
"1989-08";"6J";"5.159"
"1989-08";"7J";"5.158"
"1989-08";"8J";"5.168"
"1989-08";"9J";"5.182"
